stime,ltime,dur,mean,sum,min,max,spkts,dpkts,sbytes,dbytes,sttl,dttl,sload,srate,drate,stcpb,dtcpb,tcprtt,synack,ackdat,label
1663634728.885221,1663634733.885741,5.000520,5.00052,5.00052,5.00052,5.00052,2,0,162,0,64,0,129.586517,0.199979,0,0,0,0,0,0,normal
1663634728.885586,1663634730.883552,1.997966,1.997966,1.997966,1.997966,1.997966,3,0,126,0,0,0,336.342041,1.001018,0,0,0,0,0,0,normal
1663634728.957735,1663634728.957752,0.000017,0.000017,0.000017,0.000017,0.000017,1,1,60,42,0,0,0,0,0,0,0,0,0,0,normal
1663634732.277397,1663634737.282657,5.005260,5.00526,5.00526,5.00526,5.00526,4,0,240,0,0,0,287.697357,0.599369,0,0,0,0,0,0,attack
1663634734.085932,1663634736.083575,1.997643,1.997643,1.997643,1.997643,1.997643,3,0,126,0,0,0,336.396454,1.00118,0,0,0,0,0,0,normal
1663634738.296127,1663634743.288164,4.992037,4.992037,4.992037,4.992037,4.992037,4,0,240,0,0,0,288.459412,0.600957,0,0,0,0,0,0,attack
1663634738.885431,1663634738.885431,0.000000,0,0,0,0,0,1,0,81,64,64,0,0,0,0,0,0,0,0,normal
1663634738.885487,1663634738.885487,0.000000,0,0,0,0,0,1,0,81,64,64,0,0,0,0,0,0,0,0,normal
1663634738.886140,1663634738.886244,0.000104,0.000104,0.000104,0.000104,0.000104,1,1,91,139,64,64,0,0,0,0,0,0,0,0,normal
1663634738.886164,1663634738.886339,0.000175,0.000175,0.000175,0.000175,0.000175,1,1,91,139,64,64,0,0,0,0,0,0,0,0,normal
1663634743.895573,1663634743.895933,0.000360,0.00036,0.00036,0.00036,0.00036,1,1,42,60,0,0,0,0,0,0,0,0,0,0,normal
1663634744.312096,1663634749.336100,5.024004,5.024004,5.024004,5.024004,5.024004,4,0,240,0,0,0,286.623962,0.597133,0,0,0,0,0,0,attack
1663634752.298699,1663634757.303892,5.005193,5.005193,5.005193,5.005193,5.005193,4,0,240,0,0,0,287.701172,0.599377,0,0,0,0,0,0,attack
1663634752.596651,1663634752.596651,0.000000,0,0,0,0,1,0,60,0,0,0,0,0,0,0,0,0,0,0,normal
1663634752.876898,1663634757.881791,5.004893,5.004893,5.004893,5.004893,5.004893,2,0,162,0,64,0,129.473297,0.199804,0,0,0,0,0,0,normal
1663634752.876940,1663634757.881822,5.004882,5.004882,5.004882,5.004882,5.004882,2,0,162,0,64,0,129.473587,0.199805,0,0,0,0,0,0,normal
1663634752.877423,1663634758.077511,5.200088,5.200088,5.200088,5.200088,5.200088,4,0,168,0,0,0,193.842865,0.576913,0,0,0,0,0,0,normal
1663634757.885592,1663634757.885604,0.000012,0.000012,0.000012,0.000012,0.000012,1,1,60,42,0,0,0,0,0,0,0,0,0,0,normal
1663634758.328028,1663634763.320049,4.992021,4.992021,4.992021,4.992021,4.992021,4,0,240,0,0,0,288.460327,0.600959,0,0,0,0,0,0,attack
